beer_name,brewery,style,abv,ibu,comment,rating,brewery_country,brewery_city,brewery_state,date
Chocolate Stout,Rogue Ales & Spirits,Stout - American,5.8,69,NA,4,United States,Newport,OR,2015-09-07
Arctic Blast Vanilla Porter,Vertigo Brewing,Porter - American,5.8,0,Tasty!,4.25,United States,Hillsboro,OR,2015-09-11
"20"" Brown",Cascade Lakes Brewing Company,Brown Ale - American,5.3,35,NA,4,United States,Redmond,OR,2015-09-14
CoCoNut PorTeR,Maui Brewing Company,Porter - American,6,30,One of my favorites,4.75,United States,"Lahaina, Maui",HI,2015-09-15
Strawberry Fields,Bull Run Cider,Cider,6.5,0,Summer seasonal.  Delicious!!!,4.5,United States,Forest Grove,OR,2015-09-17
Anthem Cherry,Wandering Aengus Ciderworks,Cider,6.2,0,NA,4,United States,Salem,OR,2015-09-17
Gigantic IPA,Gigantic Brewing Company,IPA - American,7.3,85,NA,4.5,United States,Portland,OR,2015-09-18
1811 Lager,Fort George Brewery,Lager - North American Adjunct,5.1,0,Hoppy for a lager.  Not too bad.,3.5,United States,Astoria,OR,2015-09-19
Quick Wit,Fort George Brewery,Witbier,5.5,0,Good for a Belgian.  Not my style though.,3.25,United States,Astoria,OR,2015-09-19
Sunrise Oatmeal Pale Ale,Fort George Brewery,Pale Ale - American,5.2,0,Interesting oaty flavors mixed with hoppiness,3.75,United States,Astoria,OR,2015-09-19
The Optimist,Fort George Brewery,IPA - American,6.2,50,"Big time hoppy flavors, but not too bitter",4,United States,Astoria,OR,2015-09-19
Vortex IPA,Fort George Brewery,IPA - American,7.7,97,I can see why it's their flagship.  Great flavors!,4.5,United States,Astoria,OR,2015-09-19
Working Girl Porter,Fort George Brewery,Porter - American,4.6,30,Strong flavors.  Almost more like a stout.  Still tasty though.,4.25,United States,Astoria,OR,2015-09-19
Cavatica Stout,Fort George Brewery,Stout - American,8.8,0,A little too bitter for my tastes,2.75,United States,Astoria,OR,2015-09-19
North VII,Fort George Brewery,IPA - Belgian,9,0,"If I liked Belgians, I would like this.",3,United States,Astoria,OR,2015-09-19
3-Way IPA (2015),Fort George Brewery,IPA - American,5.7,70,NA,3.5,United States,Astoria,OR,2015-09-19
