beer_name,brewery,style,abv,ibu,comment,rating,brewery_country,brewery_city,brewery_state,date
E-Ticket Chocolate Raspberry Porter,Vertigo Brewing,Fruit Beer,4.8,35,NA,4.25,United States,Hillsboro,OR,2016-03-12
Indra Kunindra,Ballast Point Brewing & Spirits,Stout - Foreign / Export,7,50,NA,4,United States,San Diego,CA,2016-03-12
Cafe Baltika,Deschutes Brewery,Porter - Baltic,6.8,0,Big coffee and chocolate flavors.  Barely tastes like beer,4.25,United States,Bend,OR,2016-03-13
Oort Imperial Stout,Ecliptic Brewing,Stout - Other,8.5,72,NA,4.25,United States,Portland,OR,2016-03-13
Orbiter IPA,Ecliptic Brewing,IPA - American,7.4,75,NA,4.25,United States,Portland,OR,2016-03-13
XPEC 44 Peach Sour Ale,Ecliptic Brewing,Sour Ale,5.5,10,NA,4.25,United States,Portland,OR,2016-03-13
Deimos,Backlash Beer Company,IPA - Imperial / Double,9,0,NA,4.25,United States,Holyoke,MA,2016-03-13
Orange Giant Barleywine,Ecliptic Brewing,Barleywine - American,12.5,12,NA,4.25,United States,Portland,OR,2016-03-13
Pegasus ESB,Ecliptic Brewing,Extra Special / Strong Bitter,5.8,38,NA,4,United States,Portland,OR,2016-03-13
Zenith Grapefruit Gose,Ecliptic Brewing,Gose,4.5,10,NA,3,United States,Portland,OR,2016-03-13
Notorious IPA³,Boneyard Beer Company,IPA - Triple,11.8,80,Huge flavors but still impressively smooth,4.25,United States,Bend,OR,2016-03-14
20th Anniversary Encore Series: Stone 12th Anniversary Bitter Chocolate Oatmeal Stout,Stone Brewing,Stout - Imperial Oatmeal,9.2,55,Big meal in a snifter,4.25,United States,Escondido,CA,2016-03-14
Breakside IPA,Breakside Brewery,IPA - American,6.8,70,NA,4.25,United States,Portland,OR,2016-03-14
Lunch Break ISA,Breakside Brewery,IPA - Session / India Session Ale,4.7,28,Solid session,3.75,United States,Portland,OR,2016-03-14
Wanderlust IPA,Breakside Brewery,IPA - American,6.7,50,NA,4.25,United States,Portland,OR,2016-03-14
Stout,Breakside Brewery,Stout - Foreign / Export,7,40,NA,4,United States,Portland,OR,2016-03-14
Vienna Coffee OG Cold Brew,Breakside Brewery,Lager - Pale,6.1,30,Non-Porter coffee beers are funky,3.5,United States,Portland,OR,2016-03-14
Last Roman,Breakside Brewery,Strong Ale - American,5.2,27,They say it's jammy and I agree,4.25,United States,Portland,OR,2016-03-14
Rye Curious?,Breakside Brewery,Red Ale - American Amber / Red,5.7,15,NA,3.5,United States,Portland,OR,2016-03-14
Apocalypse IPA,10 Barrel Brewing Co.,IPA - American,6.8,70,NA,4,United States,Bend,OR,2016-03-15
Grapefruit Sculpin,Ballast Point Brewing & Spirits,IPA - American,7,70,NA,4.75,United States,San Diego,CA,2016-03-15
He-Man Imperial Stout,Arch Rock Brewing Company,Stout - Imperial / Double,9.5,0,NA,3.75,United States,Gold Beach,OR,2016-03-15
Black Marlin Porter,Ballast Point Brewing & Spirits,Porter - American,6,42,NA,4,United States,San Diego,CA,2016-03-15
Peppermint Victory At Sea,Ballast Point Brewing & Spirits,Porter - Imperial / Double,10,60,NA,4,United States,San Diego,CA,2016-03-16
Cold Press Coffee Porter,Everybody's Brewing,Porter - American,5.4,45,"Good, but there are better coffee porters out there",3.75,United States,White Salmon,WA,2016-03-18
Cranny Granny,D's Wicked Cider,Cider,6.5,0,NA,4.25,United States,Kennewick,WA,2016-03-19
Watermelon Dorado,Ballast Point Brewing & Spirits,IPA - Imperial / Double,10,90,Funky but good.  Big hoppy taste up front with watermelon end notes.,4.25,United States,San Diego,CA,2016-03-20
IPA,Pfriem Family Brewers,IPA - American,7.2,65,"Wow, this is an excellent IPA.  Gonna have to look into more from this brewery.",4.5,United States,Hood River,OR,2016-03-21
Mango Even Keel,Ballast Point Brewing & Spirits,IPA - Session / India Session Ale,3.8,40,By far the best beer I have ever had under 4% ABV.  Really nice mango flavor.  The transition to the mango finish is a little funky though.,4,United States,San Diego,CA,2016-03-22
IPA,Caldera Brewing Company,IPA - American,6.1,94,NA,3.75,United States,Ashland,OR,2016-03-22
Stone Delicious IPA,Stone Brewing,IPA - American,7.7,80,NA,4.25,United States,Escondido,CA,2016-03-24
Racer 5 IPA®,Bear Republic Brewing Co.,IPA - American,7.5,75,Tasty,4.5,United States,Healdsburg,CA,2016-03-25
Wrath,Reverend Nat's Hard Cider,Cider,8.5,0,This is not good.  Spicy booze.  Gross.,0.25,United States,Portland,OR,2016-03-25
2015 Stone CHAI-SPICED Imperial Russian Stout,Stone Brewing,Stout - Russian Imperial,10.6,65,"Ew, what is that flavor at the end?",1,United States,Escondido,CA,2016-03-25
Anthem Hops,Wandering Aengus Ciderworks,Cider,5.5,10,NA,3.5,United States,Salem,OR,2016-03-26
Pumpkin Spice,Seattle Cider Company,Cider,6.9,0,Yummy,4.25,United States,Seattle,WA,2016-03-26
Sour Cherry,Red Tank Cider,Cider,5.4,0,NA,4.25,United States,Bend,OR,2016-03-26
Anthem Pear,Wandering Aengus Ciderworks,Perry,5.5,0,NA,3.25,United States,Salem,OR,2016-03-26
Brown Ale,Kirkland Signature,Brown Ale - English,5,23,NA,3,United States,San Jose,CA,2016-03-27
Dark Hyde,10 Barrel Brewing Co.,IPA - Imperial / Double Black,7.3,89,Great smooth CDA.,4.25,United States,Bend,OR,2016-03-29
Double Stuff Stout,10 Barrel Brewing Co.,Stout - Milk / Sweet,6.5,28,Chocolatey goodness,4.75,United States,Bend,OR,2016-03-29
Prohibition Pauly Porter,Fat Head's Brewery,Porter - American,5.8,0,NA,4,United States,North Olmsted,OH,2016-03-29
Lux,Ninkasi Brewing Company,Lager - Helles,5,20,NA,4,United States,Eugene,OR,2016-03-31
Hop Heaven,Columbia River Brewing,IPA - American,7.5,78,NA,3.5,United States,Portland,OR,2016-04-03
Boom Boom Espresso Stout,Columbia River Brewing,Stout - American,7,34,NA,4.25,United States,Portland,OR,2016-04-03
Paddler's Porter,Columbia River Brewing,Porter - Baltic,8.5,37,NA,4.5,United States,Portland,OR,2016-04-03
War Elephant,Columbia River Brewing,IPA - Imperial / Double,8.5,85,NA,4.25,United States,Portland,OR,2016-04-03
Stumblers Stout,Columbia River Brewing,Stout - Oatmeal,6.5,34,NA,3.5,United States,Portland,OR,2016-04-03
Confluence IPA,Columbia River Brewing,IPA - American,7.2,71,NA,3.5,United States,Portland,OR,2016-04-03
Barrel Aged Stout,Columbia River Brewing,Stout - American,7,34,NA,3,United States,Portland,OR,2016-04-03
CRB Pale,Columbia River Brewing,Pale Ale - American,6.7,52,NA,3.25,United States,Portland,OR,2016-04-03
Sandy Blonde,Columbia River Brewing,Blonde Ale,6,24,NA,3,United States,Portland,OR,2016-04-03
Heady Topper,The Alchemist,IPA - Imperial / Double,8,100,"Wow, that's the best IPA I think I will ever have.  I guess that's why it is always rated in the top 5 in the world.",5,United States,Waterbury,VT,2016-04-07
Organic Portland Roast Espresso Stout,Laurelwood Brewing Co.,Stout - American,6.4,30,Roasty and delicious,4.5,United States,Portland,OR,2016-04-08
Spring Reign,Ninkasi Brewing Company,Pale Ale - American,6,38,Meh,2.75,United States,Eugene,OR,2016-04-09
Hoppy Blonde,New Belgium Brewing Company,Blonde Ale,5.7,45,NA,3.75,United States,Fort Collins,CO,2016-04-10
Skunkape IRA,Boneyard Beer Company,Red Ale - American Amber / Red,6.2,40,NA,4,United States,Bend,OR,2016-04-15
Passion Fruit Cider,Portland Cider Company,Cider,6.7,0,NA,4,United States,Clackamas,OR,2016-04-15
Well Red IRA,Ex Novo Brewing,Red Ale - Imperial / Double,7.1,60,Big hops with subtle malty red,4,United States,Portland,OR,2016-04-16
The Loving Cup,Coalition Brewing Co.,Porter - Other,5.8,32,Lacking flavor,3,United States,Portland,OR,2016-04-16
Moonlight Ride Blackberry,Rusty Truck Brewing,Fruit Beer,5.3,20,NA,3.5,United States,Lincoln City,OR,2016-04-16
Barmy,Ballast Point Brewing & Spirits,Strong Ale - American,12,23,Too much fake fruity flavor up front,2.75,United States,San Diego,CA,2016-04-16
Sextant,Ballast Point Brewing & Spirits,Stout - Oatmeal,6,24,Creamy and great on nitro,4.25,United States,San Diego,CA,2016-04-16
Hard Orange Cream Ale,Coney Island Brewing Company,Cream Ale,5,0,A little too sweet but excellent idea,4.25,United States,Brooklyn,NY,2016-04-17
Viking Blod,Dansk Mjød,Mead,19,0,NA,4.25,Denmark,Billund,NA,2016-04-22
Dino S'mores,Off Color Brewing,Stout - Russian Imperial,10.5,40,NA,4,United States,Chicago,IL,2016-04-22
Salted Caramel Porter,Cascade Lakes Brewing Company,Porter - Other,5.8,37,NA,4.5,United States,Redmond,OR,2016-04-22
Midnight Black Gose,Ex Novo Brewing,Gose,5,8,NA,4.25,United States,Portland,OR,2016-04-22
IBUsive,Fat Head's Brewery,IPA - American,7.4,80,NA,4.25,United States,North Olmsted,OH,2016-04-22
Sharp Cherry,Jester & Judge,Cider,5.8,0,NA,3.5,United States,Stevenson,WA,2016-04-22
Two Hearted Ale,Bell's Brewery,IPA - American,7,55,NA,4.75,United States,Galesburg,MI,2016-04-29
Quilmes Cristal,Cervecería y Maltería Quilmes,Lager - North American Adjunct,4.9,0,NA,3,Argentina,Quilmes,Buenos Aires,2016-04-30
Lager,Omission Beer,Gluten-Free,4.6,20,NA,3.5,United States,Portland,OR,2016-05-01
20th Anniversary Encore Series: Stone 6th Anniversary Porter,Stone Brewing,Smoked Beer,8,60,Big time smokiness,3.25,United States,Escondido,CA,2016-05-01
Conifer Ipa,Waltz Brewing,IPA - American,6.2,0,IPA season is here!,4.25,United States,Forest Grove,OR,2016-05-05
BrightCider,2 Towns Ciderhouse,Cider,6,0,NA,3.75,United States,Corvallis,OR,2016-05-05
Sorta Sweet,Portland Cider Company,Cider,4.5,0,Stellar,4.5,United States,Clackamas,OR,2016-05-06
Rosen' Berry,Fox-Tail Cider,Cider,6.4,0,NA,4,United States,Hood River,OR,2016-05-06
Hard Apple Cider,Atlas Cider Company,Cider,5.8,0,NA,3.5,United States,Bend,OR,2016-05-06
Heavy Melon,New Belgium Brewing Company,Fruit Beer,5,14,Not terrible but really lacking on fruit flavor,3,United States,Fort Collins,CO,2016-05-07
India Golden Ale,Breakside Brewery,IPA - Imperial / Double,8.1,80,In a bomber,4.5,United States,Portland,OR,2016-05-07
Blue Paddle,New Belgium Brewing Company,Pilsner - Czech,4.8,33,Pretty good for a pilsener,3.25,United States,Fort Collins,CO,2016-05-10
Ace Apple Honey Cider,Ace Cider (The California Cider Company),Cider,5,0,NA,3.25,United States,Sebastopol,CA,2016-05-11
Eliot IPA,Ex Novo Brewing,IPA - American,6.6,50,Solid,4,United States,Portland,OR,2016-05-12
Vader Black IPA,Gilgamesh Brewing,IPA - Black / Cascadian Dark Ale,6.4,60,"A little weird with the coffee addition, but not pretty good for a funky mix",3.75,United States,Salem,OR,2016-05-12
Cosmic Ristretto,Green Flash Brewing Company,Porter - Baltic,8.2,45,Roasty with bold coffee taste and a subtle nutty flavor,4.25,United States,San Diego,CA,2016-05-12
Supplication,Russian River Brewing Company,American Wild Ale,7.75,0,Excellent sour,4.25,United States,Santa Rosa,CA,2016-05-12
Mamba,Gilgamesh Brewing,Herbed / Spiced Beer,6.3,0,Weird tea and herbal flavors but kinda good,3,United States,Salem,OR,2016-05-12
Pinnapple Express,Jester & Judge,Cider,5.6,0,Even better than the one from Ace!  Not too sweet. Just right.,4.75,United States,Stevenson,WA,2016-05-13
Romantic Chemistry,Dogfish Head Craft Brewery,IPA - American,7.2,40,NA,4,United States,Milton,DE,2016-05-14
Kiss The Goat,Gigantic Brewing Company,Doppelbock,8,30,NA,3.5,United States,Portland,OR,2016-05-19
Strong Porter,Culmination Brewery,Porter - Imperial / Double,8,0,Strange aftertaste,3,United States,Portland,OR,2016-05-24
Cucumber Crush,10 Barrel Brewing Co.,Berliner Weisse,4,17,Excellent sour with tasty cucumber,4.5,United States,Bend,OR,2016-05-26
Maine Squeeze,10 Barrel Brewing Co.,IPA - American,6,50,Tropical goodness,4.5,United States,Bend,OR,2016-05-26
Sister's Coffee Porter,10 Barrel Brewing Co.,Porter - Other,6.5,38,NA,4,United States,Bend,OR,2016-05-26
Coffee Cinnamon Bourbon Abominable (2015),Fremont Brewing,Winter Ale,14,0,Huge coconut and tasty creamy texture.  14% is well worth it.,5,United States,Seattle,WA,2016-05-26
Blind Pig IPA,Russian River Brewing Company,IPA - American,6.1,70,Citrusy and not quite as smooth as I had hoped,4.25,United States,Santa Rosa,CA,2016-05-26
Dia De Los Serranos,Green Flash Brewing Company,Stout - Imperial / Double,8.8,45,Not too spicy.  Interesting pepper.,3.5,United States,San Diego,CA,2016-05-26
Strawberry Blondie,Acoustic Ales Brewing Experiment,Blonde Ale,6,0,Tastes like strawberry shortcake,4.25,United States,San Diego,CA,2016-05-26
Apple Session Cider,Atlas Cider Company,Cider,5.8,0,NA,4,United States,Bend,OR,2016-05-27
Piña,10 Barrel Brewing Co.,Fruit Beer,4.7,0,NA,3,United States,Bend,OR,2016-05-27
Bear Naked Ale,Adirondack Brewery,Red Ale - American Amber / Red,5.2,30,NA,4,United States,Lake George,NY,2016-05-28
Cherry Raspberry Ale,Brown's Brewing,Fruit Beer,6.5,0,NA,3.5,United States,Troy,NY,2016-05-28
Back in Black,21st Amendment Brewery,IPA - Black / Cascadian Dark Ale,6.8,65,NA,3.75,United States,San Francisco,CA,2016-05-29
Barnacle Brown Ale,Barrier Brewing Company,Brown Ale - American,6.2,42,NA,4,United States,Oceanside,NY,2016-05-29
Hibiscus Cider,Harpoon Brewery,Cider,4.8,0,NA,3.75,United States,Boston,MA,2016-05-29
Black Chocolate Stout,Brooklyn Brewery,Stout - Russian Imperial,10,51,NA,3.25,United States,Brooklyn,NY,2016-05-29
Sexy Beats,Rare Form Brewing Company,IPA - American,7.8,0,NA,4,United States,Troy,NY,2016-05-30
Apricot Wheat,Ithaca Beer Company,Fruit Beer,4.9,0,NA,3.5,United States,Ithaca,NY,2016-05-30
Green State Lager,Zero Gravity Craft Brewery,Pilsner - Other,4.9,25,Good for a Pilsner,3.5,United States,Burlington,VT,2016-05-31
Mr. Black,Zero Gravity Craft Brewery,Schwarzbier,4.9,0,Excellent black lager,4.25,United States,Burlington,VT,2016-05-31
Levitator,Zero Gravity Craft Brewery,Doppelbock,6.7,0,NA,4,United States,Burlington,VT,2016-05-31
Cote de Champlain,Zero Gravity Craft Brewery,Blonde Ale - Belgian Blonde / Golden,5.7,33,NA,3.75,United States,Burlington,VT,2016-05-31
B Clause,Zero Gravity Craft Brewery,Pale Ale - American,5.5,0,A little funky with the wild yeast,3,United States,Burlington,VT,2016-05-31
Conehead,Zero Gravity Craft Brewery,IPA - American,5.7,49,NA,4,United States,Burlington,VT,2016-05-31
TLA IPA,Zero Gravity Craft Brewery,IPA - American,5.7,75,NA,3.5,United States,Burlington,VT,2016-05-31
Red Handed,Zero Gravity Craft Brewery,IPA - American,6.8,0,NA,4,United States,Burlington,VT,2016-05-31
Ostara,Zero Gravity Craft Brewery,IPA - Belgian,8.2,0,NA,3.5,United States,Burlington,VT,2016-05-31
Narconaut Black IPA,Zero Gravity Craft Brewery,IPA - Black / Cascadian Dark Ale,6.6,70,Tasty CDA almost,4.25,United States,Burlington,VT,2016-05-31
Unified Press,Citizen Cider,Cider,6.2,0,NA,3.75,United States,Burlington,VT,2016-05-31
Grapefruit DIPA,Rock Art Brewery,IPA - Imperial / Double,7,0,Not quite as smooth a transition to grapefruit as I like,3.25,United States,Morrisville,VT,2016-05-31
Sip of Sunshine,Lawson's Finest Liquids,IPA - Imperial / Double,8,65,Tasty!,4.5,United States,Warren,VT,2016-05-31
Trois Pistoles,Unibroue,Belgian Strong Dark Ale,9,16,Belgian overload,3,Canada,Chambly,QC,2016-05-31
Little Wolf,Zero Gravity Craft Brewery,Pale Ale - American,4.7,40,Nice hoppiness but pretty smooth too,4,United States,Burlington,VT,2016-06-01
Downtown Piggy Brown,Prohibition Pig,Brown Ale - American,5,0,Brown roasty goodness!,4.5,United States,Waterbury,VT,2016-06-01
Lemongrass Luau,Kona Brewing Company,Herbed / Spiced Beer,5.8,0,A little funky with the ginger but a tasty summer beer,3.75,United States,Kailua-Kona,HI,2016-06-04
Hop Slice,Deschutes Brewery,IPA - Session / India Session Ale,4.5,45,NA,3.25,United States,Bend,OR,2016-06-04
Lucky 13 (Mondo Large Red Ale),Lagunitas Brewing Company,Red Ale - Imperial / Double,8.8,77,What a red ale should taste like,4.5,United States,Petaluma,CA,2016-06-05
Superfuzz Blood Orange Pale,Elysian Brewing,Pale Ale - American,5.4,0,NA,3.75,United States,Seattle,WA,2016-06-06
Dragonfruit Cider,Atlas Cider Company,Cider,6,0,NA,4.25,United States,Bend,OR,2016-06-06
